ANO;CODIGO_ORGAO_ENTIDADE;ORGAO_ENTIDADE;CNPJ_CPF_DOADOR_COMODANTE;DOADOR_COMODANTE;OBJETO;QUANTITATIVO;VIGENCIA;VALOR;PROCESSO_SEI;INTEGRA_TERMO_DOACAO_COMODATO;;;;DATA_ATUALIZACAO
2019;1501;SEPLAG;14.377.211/0001-52;Instituto Áquila de Gestão;Prestação de Serviço de Implementação da Metodologia Orçamento Base Zero;1;03 meses a partir da abertura oficial do projeto;R$ 300.000,00;1500.01.0026004/2019-30;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/doacao_aquila.pdf;;;;20200520
2019;1221;SEDECTES;19.377.514/0001-99;Tropos Lab Laboratório de Negócios Inovadores Ltda ;Serviço de Diagnóstico do Ecossistema de Empreendedorismo Inovador e Redesenho do Programa SEED;1;07 semanas a partir da abertura oficial do projeto;R$ 220.000,00;1220.01.0000625/2019-45;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/doacao_tropos.pdf;;;;20200520
2019;1221;SEDECTES;24.333.814/0001-06;Improve Assessoria e Treinamento Empresariais Ltda;Prestação de Serviço de desenho de um projeto de inovação para o Governo de Minas Gerais objetivando a criação de um laboratório de teste para empresas de base tecnológica no governo;1;28 semanas a partir da abertura oficial do projeto;R$ 347.000,00;1220.01.0000724/2019-88;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/doacao_improve.pdf;;;;20200520
2019;1501;SEPLAG;20.754.964/0001-32 E 17.449.612.0001-69;Colégio Registral Imobiliário de Minas Gerais (CORI/MG) e Federação das Associações Comerciais e Empresariais do Estado de Minas Gerais (Federaminas);Prestação de serviços de identificação e atualização cadastral incremental dos 10.506(dez mil quinhentos e seis) imóveis de propriedade do Estado de Minas Gerais constantes da base de dados do módulo do sistema integrado de administração de materiais e serviços de Minas Gerais (SIAD/MG).;1; 02 anos, prorrogáveis a critério das partes, a partir da publicação de seu extrato no Diário Oficial do Estado.;R$ 31.518.000,00;1500.01.0033934/2019-96;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/doacao_cori_e_federaminas.pdf;;;;20200520
2019;1501;SEPLAG;05.461.142/0001-70 E 01.801.906/0001-78;Boston Consulting Group Brasil LTDA;Serviços de consultoria de desenho de um Plano Estratégico para o Governo do Estado de Minas Gerais, incluindo vias de contribuição ao seu financiamento decorrente da maximização do valor da participação do Estado em empresas públicas selecionadas. Os serviços ofertados têm como finalidade atender o interesse público, abrangendo a definição das diretrizes para as áreas fins do governo (saúde, educação, segurança, desenvolvimento econômico e social, cultura e turismo, meio ambiente, agricultura, infraestrutura, dentre outras), bem como a apresentação de alternativas que contribuam para sua viabilização. ;1;08 semanas de trabalhos a contar do dia de abertura oficial do projeto realizada junto ao Governador e aos Secretários de Estado.;R$ 5.500.000,00;1500.01.0005177/2019-50;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/publicacaotermo_de_doacao_seplag_boston-mescladoatzdo.pdf;;;;20200520
2019;1501;SEPLAG;27.685.506/0001-38;Arcaduz Negociações Eirelli;Serviços de consultoria especializada para análise de viabilidade técnica e comercial de contratos de licenciamento de software MICROSOFT para a SEPLAG - MG;1; 4 semanas a partir do início das atividades a ser definido, em comum acordo com o Cliente, em reunião de Kickoff de Projeto.;R$ 150.000,00;1500.01.0036610/2019-12;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/extrato_termo_de_doacao_1500010036610201912-mesclado.pdf;;;;20200520
2019;1481;SEDESE;15 782 440/0001-15;Macaca Filmes;Vídeo promocional sobre o Memorial de Direitos Humanos;1;30 dias, a partir da publicação de seu extrato ;R$ 6.450,00;1650.01.0000633/2019-73;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/publicacao_macaca-mesclado.pdf;;;;20200520
2020;1260;SEE ;13.691.751/0001-43;Instituto Lemann; Diagnóstico e apoio à incorporação de tecnologia a educação pública do Estado de Minas Gerais;1;120 dias a partir da data de inicio das atividades.;R$ 81.440,00;1260.01.0086134/2019-42;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/seplag_see_instituto_lemann.pdf;;;;20200520
2020;2440;ARSAE ;30.024.072/0001-30;Governança Criativa - SMARTGOV;Consultoria técnica especializada de um sistema que envolva o mapeamento de riscos da organização,  crie políticas e procedimentos para mitigar os riscos envolvidos e envolva um plano de treinamento e de comunicação na área de integridade;1;60 dias, a partir da data de início das atividades.;R$ 21.000,00;2440.01.0000445/2019-57;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/arsae_publicacao_termo_de_doacao.pdf;;;;20200520
2020;1301;SEINFRA;00.510.077/0001-01;Frazillio & Ferroni Informática Comércio e serviços Ltda;Cursos e capacitações visando a implantação de melhorias na Gestão de projetos e de obras públicas de edificações e de infraestrutura, por meio da implantação e implementação da metodologia de trabalho denominada modelagem da informação da construção - BIM na SEINFRA e no DEER-MG para o desenvolvimento do Projeto BIM.;1;30 dias, a contar do dia da abertura oficial do projeto realizada junto ao Secretário de Estado.;R$ 7.200,00;1300.01.0002881/2019-38;http://www.planejamento.mg.gov.br/sites/default/files/documentos/logistica-e-patrimonio/doacoes-ao-governo/seinfra_termo_de_doacao_publicacao.pdf;;;;20200520
