ANO;CODIGO_ORGAO_ENTIDADE;SIGLA_ORGAO_ENTIDADE;CNPJ_CPF_CONTRATADO;CONTRATADO;PROCESSO_SEI;LINK_SEI;PROCESSO_COMPRA;NUMERO_SIAFI;INTEGRA_CONTRATO;PORTAL_TRANSPARENCIA;PORTAL_COMPRAS_PROCESSO;DATA_ATUALIZACAO;OBSERVACAO
2020;1500;SEPLAG.;20.235.404/0001-71;DCB DISTRIBUIDORA CIRURGICA BRASILEIRA LTDA;1500.01.0014225/2020-94;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNfhvdQskkAOK8KfWEQ0s5t7ghqygo8U_Ichz28fPlct3;1501561 000005/2020;9245572;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162367;;;20200328;
2020;1500;SEPLAG.;68.176.544/0001-42;KSN - PROTECAO RESPIRATORIA EIRELI;1500.01.0014240/2020-77;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNemi44pVLcA6xlA_T2TmMxSSEWGTpsZhrQQyNf3QwUGT;1501561 000006/2020;9245606;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162402;;;20200302;
2020;1250;PMMG;05.355.135/0001-93;OFFICER INDUSTRIA QUIMICA EIRELI - EPP;1250.01.0001752/2020-79;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNaSjzLlvT1MlZIZa_YzmFeaTovyfoKb4riPNMGEQrDUh;1259662 000008/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/02-04-2020/1831094/0/0/10787/0/0/0/0/21584/85100242/170087/1669370/321001/1259662000008-2020;;20200302;
2020;1250;PMMG;26.286.203/0001-80;FRANKLIN EMBALAGENS LTDA;1250.01.0001868/2020-51;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNTOEwnJ88uz-zoGs7QFhMAhMfmp6a-DQ8PSaJ03L68qP;1259662 000009/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/02-04-2020/1831094/0/0/11427/0/0/0/0/15894/36500135/91264/1114174/321248/1259662000009-2020;;20200302;
2020;2120;IPSM;21.559.804/0001-03;GERBRA COMERCIO EIRELI - ME;2120.01.0002380/2020-39 ;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNU-bGLFMcHfylxcAnJciUWgFm2fjW-xNWqUTyFeF1e1c;2121022 000013/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/02-04-2020/1831097/0/0/33700/0/0/0/0/21585/79300596/170097/1669486/320360/2121022000013-2020;;20200403;
2020;2120;IPSM;21.559.804/0001-03;GERBRA COMERCIO EIRELI - ME;2120.01.0002470/2020-34 ;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNbaftZbsSfiX2ducxTUKZGMtb3vQmBzcpVhwkMOvJmDe;2121022 000017/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/02-04-2020/1831097/0/0/33700/0/0/0/0/11790/36500798/81234/513830/320558/2121022000017-2020;;20200403;
2020;2120;IPSM;21.559.804/0001-03;GERBRA COMERCIO EIRELI - ME;2120.01.0002637/2020-84;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNcB6rkIRjUz8PjAVWeiitknebRdMANcKLG3H0Jtys8jx;2121022 000020/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/02-04-2020/1831097/0/0/33700/0/0/0/0/21741/85200085/175918/1692160/320977/2121022000020-2020;;20200403;
2020;1500;SEPLAG.;68.176.544/0001-42;KSN - PROTECAO RESPIRATORIA EIRELI;1500.01.0014717/2020-02;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNaPZt1bfW8c-PV9P4JQK8uJGv3YqMU4NVpab1tsLIdnr;1501561 000009/2020;9245644;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162422;;;20200403;
2020;1500;SEPLAG.;68.176.544/0001-42;KSN - PROTECAO RESPIRATORIA EIRELI;1500.01.0014880/2020-63;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNWtLDCB2BRiACKkVGegn229F4sZ3Y9c9VI5OmjBC3EiM;1501561 000010/2020;9245631;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162436;;;20200403;
2020;1500;SEPLAG.;84.951.649/0001-88;JMS INDUSTRIA E COMERCIO - EIRELI ;1500.01.0015098/2020-94;https://www.sei.mg.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNZVUaOKfNegpE6rZULivzDqsXpe1-8-5vC2Wdhy0hq4S;1501561 000011/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/14-04-2020/1831095/0/0/61932/0/0/0/0/15788/83050019/215076/1752731/321268/1501561000011-2020;;20200414;
